#{"t_start": 1662268370.512798, "env_id": "highway-fast-v0"}
r,l,t
68.571221,71,3.324643
90.080909,93,6.138803
66.260176,68,9.067141
34.528932,36,10.410995
69.109883,71,12.833061
112.796787,116,16.812946
102.081749,105,20.376743
70.511629,73,23.15821
25.610802,27,24.158287
91.17197,94,27.429061
92.185387,95,30.775817
96.254144,99,34.567438
71.805415,74,37.056384
25.603362,27,38.061658
27.766326,29,39.17112
54.201557,56,41.244389
42.45059,44,42.728331
22.78176,24,43.587998
107.865143,111,47.400917
42.220598,44,48.979165
31.545771,33,50.151131
112.81101,116,54.104564
75.46433,78,56.72977
98.94637,102,60.245668
81.344368,84,63.136519
54.144755,56,65.058543
42.090646,44,66.636792
43.299658,45,68.199414
149.868078,154,73.387318
146.416808,150,78.559597
148.297111,152,83.684998
157.048439,161,89.201052
154.643237,158,94.62335
53.881624,56,96.623505
56.851892,59,98.639287
108.000131,111,102.479976
117.79957,121,106.744828
68.870291,71,109.198146
147.667143,151,114.432929
38.547779,40,115.823662
92.260152,95,119.05829
32.435157,34,120.261509
118.939627,122,124.520997
191.205768,196,131.115261
118.671479,122,135.271835
16.692734,18,135.881257
97.588436,100,139.319026
169.031485,173,145.319495
80.487085,83,148.225971
170.630198,174,154.148307
43.331215,45,155.695303
20.579976,22,156.445362
50.071573,52,158.242377
229.399427,235,166.16487
19.678257,21,166.868051
55.694041,58,168.85258
74.543587,77,171.665298
130.371285,134,176.243782
83.501819,86,179.18151
85.780465,88,182.19737
100.459008,103,185.666391
195.952218,201,192.5252
99.997864,103,195.931715
113.159872,116,199.963279
161.188022,165,205.54184
17.716039,19,206.151263
98.91091,102,209.620285
60.066472,62,211.729823
26.557003,28,212.745526
138.684555,142,217.542776
36.528718,38,218.964763
45.944824,48,220.589889
42.187506,44,222.168137
77.552882,80,224.855847
34.42691,36,226.12157
254.797812,260,235.01289
115.827433,119,239.169462
48.181721,50,240.888348
29.437535,31,241.982183
29.480852,31,243.013513
124.782441,128,247.40448
26.563472,28,248.357679
84.390754,87,251.357913
75.457237,78,254.076876
30.401186,32,255.201964
28.442259,30,256.24892
25.53878,27,257.217746
31.677702,33,258.327208
18.648885,20,259.061639
187.116872,191,265.484016
43.984794,46,267.093516
250.949498,257,275.766558
56.072571,58,277.735462
49.228584,51,279.469973
80.46375,83,282.313945
26.639114,28,283.345275
122.912249,126,287.704989
84.388802,87,290.673972
46.968987,49,292.455361
100.166051,103,296.002512
50.190827,52,297.799526
36.278574,38,299.11213
50.012149,52,300.877954
55.872085,58,303.034373
99.020775,102,306.72216
95.237749,98,310.19118
113.840942,117,314.36338
83.483227,86,317.222978
71.545584,74,319.707547
294.740017,302,329.895842
110.911647,114,333.78677
64.585382,67,336.052572
41.433358,43,337.55269
25.657935,27,338.552768
22.591719,24,339.427835
270.632074,277,348.772316
106.385536,109,352.538233
250.866503,257,361.35142
24.536598,26,362.257742
228.027406,233,370.164607
62.202929,64,372.336652
60.708519,63,374.508697
81.361794,84,377.321416
63.883477,66,379.634096
109.97444,113,383.431267
165.568479,170,389.103585
35.432639,37,390.353682
132.06847,136,395.057179
85.289187,88,398.104287
111.74244,115,401.979589
154.280397,158,407.32327
489.03451,500,424.168333
74.537353,77,426.76317
140.170049,144,431.560421
44.569205,46,433.169921
43.391529,45,434.810673
454.940868,466,450.483771
184.282154,189,456.953026
133.014554,137,461.609639
74.554312,77,464.234843
72.485784,75,466.906927
37.405704,39,468.235156
65.826819,68,470.579088
151.220621,155,475.985761
52.898409,55,477.782776
343.740765,351,489.721207
177.666119,181,495.98732
488.809534,500,512.957394
32.399958,34,514.144986
144.686624,149,519.270386
461.760085,472,535.084119
55.198315,57,537.115528
34.34023,36,538.412504
197.803989,203,545.475555
291.550858,298,556.148263
247.186832,253,564.867693
471.945062,482,581.290849
88.566894,91,584.416093
23.615906,25,585.275534
56.9258,59,587.291316
348.841174,357,599.448515
62.1214,64,601.620561
86.243384,89,604.745804
120.412656,124,608.964882
25.547393,27,609.871203
93.482197,96,613.262093
168.967902,173,619.153177
61.837378,64,621.465856
55.004848,57,623.452134
21.640926,23,624.233444
49.393525,51,625.952329
43.208199,45,627.514951
175.78527,180,633.765663
84.428936,87,636.67214
39.252699,41,638.047248
151.115621,155,643.469544
29.38762,31,644.579006
141.034379,144,649.485639
131.35085,135,654.220383
36.486155,38,655.470481
85.255856,88,658.470715
385.093434,394,671.971767
49.917388,52,673.815661
64.739498,67,676.081464
275.741697,282,685.707215
